student_id,age,gender,socioeconomic_status,ethnicity
376,16,Female,Medium,White
377,18,Female,High,White
378,15,Female,High,Hispanic
379,18,Female,Low,Hispanic
380,15,Female,High,White
381,15,Non-binary/Other,High,Hispanic
382,16,Female,Low,Black
383,17,Male,Low,White
384,16,Female,Medium,Black
385,17,Female,Low,White
386,16,Male,Medium,White
387,15,Male,Low,White
388,16,Male,Medium,White
389,18,Female,Low,Other
390,14,Male,Low,White
391,15,Male,Low,Asian
392,15,Female,Low,White
393,17,Non-binary/Other,High,Black
394,18,Female,Medium,Black
395,17,Female,Medium,White
396,17,Male,Medium,Black
397,15,Male,Medium,White
398,15,Female,High,White
399,17,Non-binary/Other,Low,White
400,18,Female,Medium,Hispanic
401,16,Female,Low,Hispanic
402,16,Male,Low,Other
403,17,Male,Low,White
404,16,Female,Low,Other
405,16,Male,High,White
406,18,Male,Low,White
407,16,Female,Low,Black
408,15,Male,Medium,Asian
409,16,Female,Medium,Hispanic
410,16,Male,High,Black
411,17,Female,High,White
412,18,Male,High,White
413,18,Female,Low,White
414,18,Male,Low,Asian
415,15,Female,Medium,White
416,18,Female,Medium,White
417,18,Female,Medium,White
418,18,Female,Low,Other
419,15,Non-binary/Other,Low,White
420,18,Female,Low,Black
421,16,Male,Medium,White
422,16,Female,High,White
423,18,Female,Medium,White
424,18,Male,Medium,White
425,16,Male,Low,White
426,14,Male,High,White
427,14,Male,Medium,White
428,15,Female,Low,Black
429,18,Female,High,White
430,16,Female,High,White
431,15,Male,Low,White
432,18,Male,Low,Asian
433,18,Female,Medium,Other
434,17,Female,Low,Asian
435,14,Female,Medium,Hispanic
436,16,Male,Medium,Black
437,15,Male,Medium,Other
438,16,Female,Low,Asian
439,18,Female,Low,Other
440,18,Female,Low,White
441,18,Female,Medium,White
442,18,Male,Low,White
443,16,Female,Low,White
444,14,Male,Medium,Black
445,14,Male,Low,Hispanic
446,15,Female,Medium,White
447,17,Female,Low,Hispanic
448,16,Female,Medium,White
449,17,Female,Low,White
450,18,Male,Medium,White
451,17,Non-binary/Other,Medium,Hispanic
452,18,Male,Low,Hispanic
453,18,Male,Medium,Hispanic
454,16,Male,Low,Hispanic
455,16,Male,Low,White
456,17,Male,Medium,White
457,16,Female,Medium,White
458,17,Male,Low,Black
459,17,Female,Medium,White
460,17,Male,Medium,White
461,18,Male,Low,Hispanic
462,15,Female,Medium,Hispanic
463,16,Male,Low,Other
464,15,Male,Medium,Black
465,14,Male,Medium,Asian
466,15,Female,Medium,White
467,17,Female,High,White
468,16,Male,Low,Hispanic
469,18,Male,Low,Hispanic
470,16,Male,Low,Other
471,16,Female,Low,Hispanic
472,15,Male,Low,Hispanic
473,17,Male,Low,Hispanic
474,17,Male,Medium,White
475,15,Male,Medium,Hispanic
476,18,Female,Medium,White
477,16,Female,High,White
478,15,Female,Medium,Hispanic
479,15,Male,Low,Hispanic
480,17,Male,Medium,Black
481,18,Male,Low,White
482,16,Male,Medium,Hispanic
483,16,Female,Low,Hispanic
484,16,Female,High,Hispanic
485,15,Female,High,White
486,14,Male,Medium,White
487,18,Female,High,Black
488,17,Male,Low,White
489,18,Female,Medium,White
490,16,Male,Low,White
491,17,Male,High,Hispanic
492,14,Male,Low,Hispanic
493,14,Female,Medium,Black
494,17,Female,High,White
495,16,Male,Low,Black
496,17,Male,Medium,White
497,16,Female,Low,White
498,16,Male,Low,White
499,18,Female,Medium,White
500,18,Male,Low,Hispanic
